#ID	Test1124869	Test1124870	Test1124882	Test1124884	Test1124898	Test1124903	Test1124905	Test1124910	Test1124919	Test1124932	Test1124933	Test134584	Test134586	Test134588	Test134589	Test134687	Test134688	Test134690	Test134691	Test134693	Test134694	Test134696	Test134697	Test134699	Test134700	Test134702	Test134703	Test134705	Test134706	Test134708	Test134709
1	5.83	5.5	6.46	6.51	6.73	6.59	4.59	6.55	6.3	5.09	5.8																				
1	3.37	3.45	3.92	3.33	3.78	3.21	2.77	3.21	3.2	4.61	2.88																				
1												14.7	1.5	12.5	15	16.3	12.1	0.8	3.2	3.6	1.8	7.5	13	3.9	3.1	17.2	59.4	16	52.3	9	2.9
1																															
2	11.78	10.97	10.36	10	10.89	8.88	10.76	11.69	9.82	10.31	11.18																				
2												58	31.5	37.9	55.4	22.8	60.6	39.6	34.1	42.2	53	28	44.5	48.1	29.4	28.3	44.8	53	42	37.2	48
2												5223.1	5120.7	1607.6	2288.9	1964.4	2709.3	2811.1	2239.1	5342	5172	915.8	1789.8	2451.2	4364.7	3886.2	4177.9	3000.6	2425.8	2168.1	2696.6
2																															
3	4.02	6.58	3.71	3.62	4.06	4.19	4.27	4.18	3.82	5.45	 																				
3												20.8	7.1	54.8	48.3	19.4	39.4	16.8	30.9	70.6	60.7	48.7	21.2	32.9	44	38.4	10.6	44.3	82.9	49.2	37.9
9	7.81	7.12	6.53	10.46	11.47	10.74	7.77	7.68	12.12	8.89	8.86																				
9	7.75	7.13	6.76	10.76	11.65	10.83	7.65	7.76	12.35	8.87	8.82																				
9												539.1	241.3	159.5	99.4	398.6	377	483.8	543.4	101.3	60.7	141.3	52.8	108	182.4	1009.6	579.7	60.6	130.9	158	235.2
9																															
10	5.01	5.97	4.17	8.5	4.77	4.34	3.71	3.91	4.38	5.72	5.17																				
10												3.8	15.5	7.8	3.2	5.2	13.7	4.3	28.5	20.7	6.2	4.1	7.1	5.8	2.3	6.4	13.6	3.3	9.9	5.8	8.9
10																															
